"Cite","ConIDorig","ConID","ott_id","TSc","FSc","fF","TG","EE","BM","Eco","Lat","Long","DR","DRlog","Drf","Drc","TA","TAlog","SA","SAlog","Yr","tWS","DT","FD"
"Metillo_2011","Acetes_intermedius","Acetes_intermedius",2970917,35,35,1,"Arthropods","Ectotherm",NA,"Marine",8.2,-124.1,7,0.845098040014257,"Subclass","Phylum","Months",2.86332286012046,"100m",2,1999,11,1999-01-01 00:00:00,"Gut content (lethal)"
"Metillo_2011","Acetes_intermedius","Acetes_intermedius",2970917,35,35,1,"Arthropods","Ectotherm",NA,"Marine",8.2,-124.1,5,0.698970004336019,"Subclass","Phylum","Months",2.86332286012046,"100m",2,1999,11,1999-01-01 00:00:00,"Gut content (lethal)"
"Metillo_2011","Acetes_intermedius","Acetes_intermedius",2970917,35,31,0.8857,"Arthropods","Ectotherm",NA,"Marine",8.2,-124.1,9,0.954242509439325,"Subclass","Phylum","Months",2.86332286012046,"100m",2,1999,11,1999-01-01 00:00:00,"Gut content (lethal)"
"Metillo_2011","Acetes_intermedius","Acetes_intermedius",2970917,35,28,0.8,"Arthropods","Ectotherm",NA,"Marine",8.2,-124.1,8,0.903089986991944,"Subclass","Phylum","Months",2.86332286012046,"100m",2,1999,11,1999-01-01 00:00:00,"Gut content (lethal)"
"Metillo_2011","Acetes_intermedius","Acetes_intermedius",2970917,35,26,0.7429,"Arthropods","Ectotherm",NA,"Marine",8.21,-124.18,10,1,"Subclass","Phylum","Months",2.86332286012046,"100m",2,1999,11,1999-01-01 00:00:00,"Gut content (lethal)"
"Metillo_2011","Acetes_intermedius","Acetes_intermedius",2970917,35,27,0.7714,"Arthropods","Ectotherm",NA,"Marine",8.2,-124.1,9,0.954242509439325,"Subclass","Phylum","Months",2.86332286012046,"100m",2,1999,11,1999-01-01 00:00:00,"Gut content (lethal)"
"Metillo_2011","Acetes_intermedius","Acetes_intermedius",2970917,35,32,0.9143,"Arthropods","Ectotherm",NA,"Marine",8.2,-124.1,8,0.903089986991944,"Subclass","Phylum","Months",2.86332286012046,"100m",2,1999,11,1999-01-01 00:00:00,"Gut content (lethal)"
"Metillo_2011","Acetes_intermedius","Acetes_intermedius",2970917,35,30,0.8571,"Arthropods","Ectotherm",NA,"Marine",8.21,-124.18,9,0.954242509439325,"Subclass","Phylum","Months",2.86332286012046,"100m",2,1999,11,1999-01-01 00:00:00,"Gut content (lethal)"
"Metillo_2011","Acetes_intermedius","Acetes_intermedius",2970917,35,34,0.9714,"Arthropods","Ectotherm",NA,"Marine",8.2,-124.1,10,1,"Subclass","Phylum","Months",2.86332286012046,"100m",2,1999,11,1999-01-01 00:00:00,"Gut content (lethal)"
"Metillo_2011","Acetes_intermedius","Acetes_intermedius",2970917,35,35,1,"Arthropods","Ectotherm",NA,"Marine",8.2,-124.1,7,0.845098040014257,"Subclass","Phylum","Months",2.86332286012046,"100m",2,1999,11,1999-01-01 00:00:00,"Gut content (lethal)"
"Metillo_2011","Acetes_intermedius","Acetes_intermedius",2970917,35,35,1,"Arthropods","Ectotherm",NA,"Marine",8.21,-124.18,6,0.778151250383644,"Subclass","Phylum","Months",2.86332286012046,"100m",2,1999,11,1999-01-01 00:00:00,"Gut content (lethal)"
"Metillo_2011","Acetes_intermedius","Acetes_intermedius",2970917,35,34,0.9714,"Arthropods","Ectotherm",NA,"Marine",8.21,-124.18,9,0.954242509439325,"Subclass","Phylum","Months",2.86332286012046,"100m",2,1999,11,1999-01-01 00:00:00,"Gut content (lethal)"
"Metillo_2011","Acetes_intermedius","Acetes_intermedius",2970917,35,34,0.9714,"Arthropods","Ectotherm",NA,"Marine",8.2,-124.1,7,0.845098040014257,"Subclass","Phylum","Months",2.86332286012046,"100m",2,2000,11,2000-01-01 00:00:00,"Gut content (lethal)"
"Metillo_2011","Acetes_intermedius","Acetes_intermedius",2970917,35,30,0.8571,"Arthropods","Ectotherm",NA,"Marine",8.21,-124.18,5,0.698970004336019,"Subclass","Phylum","Months",2.86332286012046,"100m",2,1999,11,1999-01-01 00:00:00,"Gut content (lethal)"
"Metillo_2011","Acetes_intermedius","Acetes_intermedius",2970917,35,33,0.9429,"Arthropods","Ectotherm",NA,"Marine",8.21,-124.18,7,0.845098040014257,"Subclass","Phylum","Months",2.86332286012046,"100m",2,1999,11,1999-01-01 00:00:00,"Gut content (lethal)"
"Metillo_2011","Acetes_intermedius","Acetes_intermedius",2970917,35,23,0.6571,"Arthropods","Ectotherm",NA,"Marine",8.21,-124.18,8,0.903089986991944,"Subclass","Phylum","Months",2.86332286012046,"100m",2,1999,11,1999-01-01 00:00:00,"Gut content (lethal)"
"Metillo_2011","Acetes_intermedius","Acetes_intermedius",2970917,35,31,0.8857,"Arthropods","Ectotherm",NA,"Marine",8.21,-124.18,7,0.845098040014257,"Subclass","Phylum","Months",2.86332286012046,"100m",2,1999,11,1999-01-01 00:00:00,"Gut content (lethal)"
"Metillo_2011","Acetes_intermedius","Acetes_intermedius",2970917,35,28,0.8,"Arthropods","Ectotherm",NA,"Marine",8.2,-124.1,5,0.698970004336019,"Subclass","Phylum","Months",2.86332286012046,"100m",2,1999,11,1999-01-01 00:00:00,"Gut content (lethal)"
"Arrington_2002","Achirus_lineatus","Achirus_lineatus",153494,40,37,0.925,"Fish","Ectotherm",3.1,"Marine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gut content (lethal)"
